Simplified	Pinyin	Traditional	Jyutping	Definition
杀	sha1	殺	aat3	kill
第...集	di4…ji2	第...集	dai6 ... zaap6	episode …
分开	fen1kai1	分開	fan1 hoi1	separate
出来	chu1lai2	出來	ceot1 loi4	emerge; come out; get up
说不定	shuo1bu4ding4	說不定	syut3 bat1 ding6	maybe
感兴趣	gan3xing4qu4	感興趣	gam2 hing1 ceoi3	interested in
这么 / 那么	zhe4me / na4me	這麽 / 那麽	ze5 mo1 /  naa5 mo1	so…
麻烦	ma2fan	麻煩	maa4 faan4	trouble
麻烦一下	ma2fanyi1xia4	麻煩一下	maa4 faan4 jat1 haa6	excuse me; sorry to trouble you
答应	da1ying	答應	daap3 jing3	promise
音乐	yin1yue4	音樂	jam1 lok6	music
视	shi4	視	si6	look; observe; see
水星	shui3xing1	水星	seoi2 sing1	Mercury
金星	jin1xing1	金星	gam1 sing1	Venus
火星	huo3xing1	火星	fo2 sing1	Mars
木星	mu2xing1	木星	muk6 sing1	Jupiter
土星	tu3xing1	土星	tou2 sing1	Saturn
天王星	tian1wang2xing1	天王星	tin1 wong4 sing1	Uranus
海王星	hai3wang2xing1	海王星	hoi2 wong4 sing1	Neptune
冥王星	ming2wang2xing1	冥王星	ming5 wong4 sing1	Pluto
傻子	sha3zi	傻子	so4 zi2	stupid
怎么	zen3me	怎麼	zam2 mo1	how?; what?; why?
纪念	ji4nian4	紀念	gei2nim6	remember
忘记	wang4ji4	忘記	mong4gei3	to forget
武侠	wu3xia2	武俠	mou5haap6	martial arts
不必	bu4bi4	不必	bat1 bit1	need not
不必心	bu4bi4xin1	不必心	bat1 bit1 sam1	don't worry
不必然	bu4bi4ran2	不必然	bat1 bit1 jin4	not necessary
你干什么	ni3gan4shen2me	你幹什麽	nei5 gon3 sam6 mo1	what are you doing
我没后悔	wo3mei2hou4hui3	我沒後悔	ngo5 mut6 hau6 fui3	I have no regrets